X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-75.750052948,45.331295137,1,127907363,8692,Pharmacy,RP,Woodroffe Pharmacy, , , ,1637 Woodroffe Avenue, , ,Ottawa,K2G1W2, ,20200403204244
-80.247403913,43.140090754,2,127907364,8696,Pharmacy,RP,Shoppers Drug Mart #1140, , , ,10 Stanley Street,Unit 6, ,Brantford,N3S7N4, ,20200403204244
-82.5476025569999,42.3049208950001,3,127907365,8697,Pharmacy,RP,Healthpoint Pharmacy, , , ,7034 Tecumseh Road, , ,Lakeshore,N0R1N0, ,20200403204244
-79.3380624869999,43.853274222,4,127907366,8698,Pharmacy,RP,Markham Centre Pharmacy, , , ,3603 Highway 7 East,Unit 101, ,Markham,L3R8W3, ,20200403204244
-79.698704791,43.722151582,5,127907367,8701,Pharmacy,RP,Southgate Pharmacy, , , ,700 Balmoral Drive,Unit 11C, ,Brampton,L6T1X2, ,20200403204244
-79.0496968269999,43.0591541950001,6,127907368,8702,Pharmacy,RP,Niagara Pharmacy, , , ,3700 Main Street, , ,Niagara Falls,L2G6A8, ,20200403204244
-79.233829046,43.7584170100001,7,127907369,8703,Pharmacy,RP,Cedarbrae Pharmacy, , , ,3340 Lawrence Avenue East,Unit 5, ,Toronto,M1H1A7, ,20200403204244
-81.305665829,42.95041767,8,127907370,8704,Pharmacy,LTCF,Westmount Gardens Ltc Home, , , ,590 Longworth Road, , ,London,N6K4X9, ,20200403204244
-79.410207804,43.7811897060001,9,127907371,8705,Pharmacy,RP,Finch Medical Pharmacy, , , ,78 Finch Avenue East, , ,Toronto,M2N4R3, ,20200403204244
-79.717321909,43.862671006,10,127907372,8706,Pharmacy,RP,Dayspring Pharmacy, , , ,12788 Highway 50, , ,Caledon,L7E4G1, ,20200403204244
-79.652754266,43.6081988650001,11,127907373,8707,Pharmacy,RP,Shoppers Drug Mart #1100, , , ,5035 Hurontario Street, , ,Mississauga,L4Z3X7, ,20200403204244
-79.7531560049999,43.691959975,12,127907374,8708,Pharmacy,RP,Queen Lynch Pharmacy, , , ,157 Queen Street East, , ,Brampton,L6W3X4, ,20200403204244
-79.039128992,43.8590828370001,13,127907375,8711,Pharmacy,RP,Shoppers Drug Mart #1224, , , ,15 Westney Road North,Unit 1, ,Ajax,L1T1P4, ,20200403204244
-78.6769691809999,43.9115966630001,14,127907376,8712,Pharmacy,RP,Bowanville Clinic Pharmacy Ltd, , , ,222 King Street East,Unit 1106, ,Bowmanville,L1C1P6, ,20200403204244
-79.8388655159999,43.507998338,15,127907377,8713,Pharmacy,RP,Shoppers Drug Mart #1344, , , ,1020 Kennedy Circle, , ,Milton,L9T0J9, ,20200403204244
-79.755803065,43.225616792,16,127907378,8716,Pharmacy,RP,Queenlake Pharmacy, , , ,910 Queenston Road, , ,Hamilton,L8G1B5, ,20200403204244
-79.6606920679999,43.598563063,17,127907379,8718,Pharmacy,RP,Heritage Hills Pharmacy, , , ,4646 Heritage Hills Boulevard,Unit 9 & 10, ,Mississauga,L5R1Y4, ,20200403204244
-79.2561488539999,43.773344412,18,127907380,8719,Pharmacy,RP,Town Care Pharmacy, , , ,60 Town Centre Court,Unit 3, ,Toronto,M1P0B1, ,20200403204244
-79.418320707,43.787105207,19,127907381,8720,Pharmacy,RP,Medcentral Pharmacy, , , ,20 Drewry Avenue, , ,Toronto,M2M1C8, ,20200403204244
-83.055531113,42.30710457,20,127907382,8722,Pharmacy,RP,Shoppers Drug Mart #1107, , , ,1675 Wyandotte Street West, , ,Windsor,N9B1H8, ,20200403204244
-76.580612531,44.2484037140001,21,127907383,8723,Pharmacy,RP,Milford Pharmacy, , , ,728 Milford Drive, , ,Kingston,K7P1C6, ,20200403204244
-78.870454245,43.935531858,22,127907384,8724,Pharmacy,RP,Ritson Pharmacy, , , ,250 Taunton Road East,Unit 8A, ,Oshawa,L1G7T1, ,20200403204244
-79.177209929,43.774562916,23,127907385,8726,Pharmacy,RP,West Hill Medical Pharmacy, , , ,4637 Kingston Road,Unit 2, ,Toronto,M1E2P8, ,20200403204244
-79.428653104,43.7133246940001,24,127907386,8727,Pharmacy,RP,Delray Pharmacy, , , ,2812 Bathurst Street, , ,Toronto,M6B3A6, ,20200403204244
-79.398202203,43.819802614,25,127907387,8729,Pharmacy,RP,Shoppers Drug Mart #658, , , ,298 John Street, , ,Markham,L3T5W4, ,20200403204244
